City,Original Equipment Manufacturer,Car,Year,Price,Kms Driven,Owner,Fuel Type,Transmission,Mileage,Max Power,Engine
Bangalore,Nissan,Nissan Terrano,2014,6.5,60000.0,2,Diesel,Manual,19.01,108.5,1461.0
Bangalore,Maruti,Maruti Swift,2014,4.44,83829.0,1,Diesel,Manual,25.2,74.0,1248.0
Bangalore,Renault,Renault KWID,2020,5.1,10000.0,1,Petrol,Automatic,22.0,67.0,999.0
Bangalore,Renault,Renault Duster,2016,9.25,35000.0,2,Diesel,Automatic,19.6,108.45,1461.0
Bangalore,Honda,Honda City,2019,10.24,51116.0,2,Petrol,Automatic,18.0,117.6,1497.0
Bangalore,Skoda,Skoda Rapid,2016,5.0,80000.0,3,Diesel,Manual,21.14,103.52,1498.0
Bangalore,Volkswagen,Volkswagen Polo,2017,9.95,40000.0,2,Petrol,Automatic,17.21,103.5,1197.0
Bangalore,Honda,Honda CR-V,2012,9.35,85565.0,2,Petrol,Automatic,11.1,158.8,2354.0
Bangalore,Ford,Ford Ecosport,2018,8.34,36916.0,1,Petrol,Manual,17.0,121.36,1497.0
Bangalore,Volkswagen,Volkswagen Polo,2015,5.6,90000.0,1,Diesel,Manual,20.14,88.8,1498.0
Bangalore,Maruti,Maruti Swift,2012,4.54,112795.0,1,Petrol,Manual,22.38,88.5,1197.0
Bangalore,Mercedes-Benz,Mercedes-Benz A-Class Limousine,2021,36.9,11000.0,1,Petrol,Automatic,,160.92,1332.0
Bangalore,Toyota,Toyota Innova,2014,11.0,120000.0,2,Petrol,Manual,11.4,130.1,1998.0
Bangalore,Honda,Honda Brio,2016,4.62,36685.0,2,Petrol,Manual,19.4,86.8,1198.0
Bangalore,Hyundai,Hyundai Santa Fe,2012,9.0,120000.0,2,Diesel,Automatic,11.72,194.3,2199.0
Bangalore,BMW,BMW 6 Series,2022,79.0,4000.0,1,Petrol,Automatic,13.32,254.79,1998.0
Bangalore,Maruti,Maruti Baleno,2019,8.43,32184.0,2,Petrol,Automatic,21.4,83.1,1197.0
Bangalore,Maruti,Maruti Baleno RS,2018,7.99,32279.0,1,Petrol,Manual,21.1,100.5,998.0
Bangalore,Hyundai,Hyundai i20,2015,5.76,59698.0,1,Petrol,Manual,18.6,81.83,1197.0
Bangalore,Renault,Renault Captur,2018,9.49,46071.0,1,Diesel,Manual,20.37,108.45,1461.0
Bangalore,Maruti,Maruti Vitara Brezza,2017,7.95,90000.0,1,Diesel,Manual,24.3,88.5,1248.0
